Semana,Día,Ejercicio #,Ejercicio,Descripción
Semana 1,Día 1,1,Inclinación Pélvica Posterior en la Pared,Desarrollar la conciencia de la inclinación pélvica y el control lumbar.
Semana 1,Día 1,2,Respiración Ventral con Gancho,Mejorar el control de la respiración y la función diafragmática.
Semana 1,Día 1,3,Balanceo Pélvico Sentado,Aumentar la movilidad y la coordinación pélvicas.
Semana 1,Día 1,4,Alcance Supino 90-90,Mejore la estabilidad central y mantenga la alineación costilla-pelvis.
Semana 1,Día 1,5,Press de Pared para Isquiotibiales,Active los isquiotibiales para estabilizar la pelvis y el tronco.
Semana 1,Día 2,1,Expansión Costal Lateral,Mejorar la expansión lateral de la caja torácica y la mecánica respiratoria.
Semana 1,Día 2,2,Rotación Torácica Sentado,Aumentar la movilidad torácica y el control rotacional.
Semana 1,Día 2,3,Bisagra de Cadera de Pie con Alcance de Pared,Desarrollar la conciencia y el control de la bisagra de la cadera.
Semana 1,Día 2,4,Rock Back Cuadrúpedo con Columna Neutra,Fomentar el control pélvico con la columna vertebral neutra.
Semana 1,Día 2,5,Sentadilla en Pared,Aumenta la confianza en la posición en cuclillas con apoyo en la pared.
Semana 1,Día 3,1,Restablecimiento de la Respiración en Decúbito Lateral,Fomenta el restablecimiento de la caja torácica y el diafragma mediante la respiración concentrada.
Semana 1,Día 3,2,Alcanzar y Rodar Rítmicamente,Mejorar el control rotacional y la coordinación.
Semana 1,Día 3,3,Patrones de Respiración Asistida,Refuerza el control de la respiración y la conciencia de las costillas.
Semana 1,Día 3,4,Balanceo Relajado de la Columna Vertebral,Favorecer el movimiento fluido de la pelvis y la columna vertebral.
Semana 1,Día 3,5,Suave Balanceo Bilateral,Mejorar la movilidad pélvica y la relajación.
Semana 1,Día 4,1,Reposición Supina del Diafragma,Establecer un control diafragmático y una relajación más profundos.
Semana 1,Día 4,2,Balanceo Pélvico Posterior Sentado,Mejorar la conciencia de la posición pélvica.
Semana 1,Día 4,3,Extensión Torácica Sentado,Fortalecer la extensión torácica y la posición de las costillas.
Semana 1,Día 4,4,Cambio de Cadera en Decúbito Supino con Respiración,Desarrollar el control de los desplazamientos pélvicos y la integración del tronco.
Semana 1,Día 4,5,Respiración Sentada con Control de Costillas,Mantenga el control de la caja torácica y la pelvis con una respiración constante.
Semana 1,Día 5,1,Respiración Diafragmática en Posición de Cocodrilo,Fomente la expansión completa de la respiración en 3D.
